group,baseline,models,wins,ties,losses,win_rate,win_rate_ci_low,win_rate_ci_high,brevis_geomean_compression_ratio,baseline_geomean_compression_ratio,geomean_compression_advantage,geomean_compression_advantage_ci_low,geomean_compression_advantage_ci_high,brevis_total_byte_compression_ratio,baseline_total_byte_compression_ratio,total_byte_compression_advantage,total_byte_compression_advantage_ci_low,total_byte_compression_advantage_ci_high,macro_archive_saving_fraction,macro_archive_saving_percent,macro_archive_saving_fraction_ci_low,macro_archive_saving_fraction_ci_high,pooled_archive_saving_fraction,pooled_archive_saving_percent,pooled_archive_saving_fraction_ci_low,pooled_archive_saving_fraction_ci_high,total_archive_bytes_saved
FP32,zstd-9,1,1,0,0,1.0,1.0,1.0,1.2063475117096774,1.0820964518464908,1.1148243852488051,1.1148243852488051,1.1148243852488051,1.2063475117096774,1.0820964518464908,1.114824385248805,1.114824385248805,1.114824385248805,0.1029977337849303,10.299773378493029,0.1029977337849303,0.1029977337849303,0.1029977337849303,10.299773378493029,0.1029977337849303,0.1029977337849303,41923553
FP32,zipnn,1,1,0,0,1.0,1.0,1.0,1.2063475117096774,1.2025374812864988,1.0031683257133095,1.0031683257133095,1.0031683257133095,1.2063475117096774,1.2025374812864988,1.0031683257133095,1.0031683257133095,1.0031683257133095,0.0031583191296003735,0.3158319129600374,0.0031583191296003735,0.0031583191296003735,0.0031583191296003735,0.3158319129600374,0.0031583191296003735,0.0031583191296003735,1156788
FP32,lz4-hc-9,1,1,0,0,1.0,1.0,1.0,1.2063475117096774,1.0000096833773326,1.2063358303046425,1.2063358303046425,1.2063358303046425,1.2063475117096774,1.0000096833773326,1.2063358303046425,1.2063358303046425,1.2063358303046425,0.1710434400779885,17.10434400779885,0.1710434400779885,0.1710434400779885,0.1710434400779885,17.10434400779885,0.1710434400779885,0.1710434400779885,75335314
FP32,libdeflate-1,1,1,0,0,1.0,1.0,1.0,1.2063475117096774,1.0818202969170292,1.1151089650910837,1.1151089650910837,1.1151089650910837,1.2063475117096774,1.0818202969170292,1.1151089650910837,1.1151089650910837,1.1151089650910837,0.10322665200856089,10.32266520085609,0.10322665200856089,0.10322665200856089,0.10322665200856089,10.32266520085609,0.10322665200856089,0.10322665200856089,42027456
FP32,snappy,1,1,0,0,1.0,1.0,1.0,1.2063475117096774,0.9999225533523608,1.2064409465165598,1.2064409465165598,1.2064409465165598,1.2063475117096774,0.9999225533523608,1.2064409465165598,1.2064409465165598,1.2064409465165598,0.17111566638436046,17.111566638436045,0.17111566638436046,0.17111566638436046,0.17111566638436046,17.111566638436045,0.17111566638436046,0.17111566638436046,75373693
FP8,zstd-9,1,1,0,0,1.0,1.0,1.0,1.2322531374503862,1.2079121468715746,1.0201512921629718,1.0201512921629718,1.0201512921629718,1.2322531374503862,1.2079121468715746,1.0201512921629718,1.0201512921629718,1.0201512921629718,0.01975323887523209,1.975323887523209,0.01975323887523209,0.01975323887523209,0.01975323887523209,1.975323887523209,0.01975323887523209,0.01975323887523209,561284096
FP8,zipnn,1,1,0,0,1.0,1.0,1.0,1.2322531374503862,1.2222342245246076,1.0081972118966605,1.0081972118966605,1.0081972118966605,1.2322531374503862,1.2222342245246076,1.0081972118966605,1.0081972118966605,1.0081972118966605,0.008130563941195152,0.8130563941195151,0.008130563941195152,0.008130563941195152,0.008130563941195152,0.8130563941195151,0.008130563941195152,0.008130563941195152,228321074
FP8,lz4-hc-9,1,1,0,0,1.0,1.0,1.0,1.2322531374503862,1.000747344631406,1.231332907412558,1.231332907412558,1.231332907412558,1.2322531374503862,1.000747344631406,1.231332907412558,1.231332907412558,1.231332907412558,0.18787194431330986,18.787194431330985,0.18787194431330986,0.18787194431330986,0.18787194431330986,18.787194431330985,0.18787194431330986,0.18787194431330986,6443432052
FP8,libdeflate-1,1,1,0,0,1.0,1.0,1.0,1.2322531374503862,1.213093094412798,1.0157943715332605,1.0157943715332605,1.0157943715332605,1.2322531374503862,1.213093094412798,1.0157943715332605,1.0157943715332605,1.0157943715332605,0.015548788195607123,1.5548788195607124,0.015548788195607123,0.015548788195607123,0.015548788195607123,1.5548788195607124,0.015548788195607123,0.015548788195607123,439928590
FP8,snappy,1,1,0,0,1.0,1.0,1.0,1.2322531374503862,0.9998835730549847,1.2323966216240891,1.2323966216240891,1.2323966216240891,1.2322531374503862,0.9998835730549847,1.2323966216240891,1.2323966216240891,1.2323966216240891,0.18857291357860909,18.85729135786091,0.18857291357860909,0.18857291357860909,0.18857291357860909,18.85729135786091,0.18857291357860909,0.18857291357860909,6473060220
