checkpoint,domain,numeric_format,baseline,brevis_exactness,baseline_exactness,source_bytes,brevis_output_bytes,baseline_output_bytes,brevis_compression_ratio,baseline_compression_ratio,compression_advantage,relative_archive_saving_fraction,relative_archive_saving_percent,archive_bytes_saved,winner
qwen3-32b-fp8,language,FP8,lz4-hc-9,byte-exact,byte-exact,34322567640,27853503957,34296936009,1.2322531374503862,1.000747344631406,1.231332907412558,0.18787194431330986,18.787194431330985,6443432052,brevis
qwen3-32b-fp8,language,FP8,libdeflate-1,byte-exact,byte-exact,34322567640,27853503957,28293432547,1.2322531374503862,1.213093094412798,1.0157943715332605,0.015548788195607123,1.5548788195607124,439928590,brevis
qwen3-32b-fp8,language,FP8,snappy,byte-exact,byte-exact,34322567640,27853503957,34326564177,1.2322531374503862,0.9998835730549847,1.2323966216240891,0.18857291357860909,18.85729135786091,6473060220,brevis
qwen3-32b-bf16,language,BF16,zstd-9,byte-exact,byte-exact,65524328560,43283947017,50842111995,1.5138251725117622,1.2887806188390425,1.1746182014092081,0.14865953992515687,14.865953992515687,7558164978,brevis
qwen3-32b-bf16,language,BF16,zipnn,byte-exact,tensor-exact,65524328560,43283947017,43653490329,1.5138251725117622,1.5010100696683744,1.0085376528128283,0.008465378351533647,0.8465378351533647,369543312,brevis
qwen3-32b-bf16,language,BF16,lz4-hc-9,byte-exact,byte-exact,65524328560,43283947017,65052546156,1.5138251725117622,1.007252328031383,1.5029254640398269,0.3346310087048332,33.463100870483316,21768599139,brevis
qwen3-32b-bf16,language,BF16,libdeflate-1,byte-exact,byte-exact,65524328560,43283947017,51359495607,1.5138251725117622,1.2757977426684348,1.1865714461490373,0.15723574568943682,15.723574568943683,8075548590,brevis
qwen3-32b-bf16,language,BF16,snappy,byte-exact,byte-exact,65524328560,43283947017,65532327386,1.5138251725117622,0.9998779407611623,1.5140099714164659,0.3395023686241462,33.95023686241462,22248380369,brevis
llama-3.1-70b-bf16,language,BF16,zstd-9,byte-exact,byte-exact,141107497872,92732903277,108575585475,1.5216551287141473,1.2996245634290464,1.1708420812694365,0.14591385465425694,14.591385465425693,15842682198,brevis
llama-3.1-70b-bf16,language,BF16,zipnn,byte-exact,tensor-exact,141107497872,92732903277,93497004654,1.5216551287141473,1.5092194492667432,1.008239808633162,0.008172469052112143,0.8172469052112142,764101377,brevis
llama-3.1-70b-bf16,language,BF16,lz4-hc-9,byte-exact,byte-exact,141107497872,92732903277,139999597025,1.5216551287141473,1.007913600257022,1.5097079038581473,0.337620212860752,33.7620212860752,47266693748,brevis
llama-3.1-70b-bf16,language,BF16,libdeflate-1,byte-exact,byte-exact,141107497872,92732903277,109668457566,1.5216551287141473,1.2866734975923186,1.1826272411466754,0.15442502488747,15.442502488747001,16935554289,brevis
llama-3.1-70b-bf16,language,BF16,snappy,byte-exact,byte-exact,141107497872,92732903277,141124663090,1.5216551287141473,0.9998783684040468,1.5218402325704208,0.34290079957277864,34.29007995727786,48391759813,brevis
mixtral-8x22b-v0.1-bf16,language,BF16,zstd-9,byte-exact,byte-exact,281241493344,184849546611,217404163163,1.52146163461168,1.2936343501993455,1.1761141271312308,0.14974237879516591,14.974237879516592,32554616552,brevis
mixtral-8x22b-v0.1-bf16,language,BF16,zipnn,byte-exact,tensor-exact,281241493344,184849546611,186232501874,1.52146163461168,1.5101633201184215,1.007481518285302,0.007425960823614296,0.7425960823614296,1382955263,brevis
mixtral-8x22b-v0.1-bf16,language,BF16,lz4-hc-9,byte-exact,byte-exact,281241493344,184849546611,279149643975,1.52146163461168,1.0074936487083155,1.5101451374530361,0.3378119922389917,33.78119922389917,94300097364,brevis
mixtral-8x22b-v0.1-bf16,language,BF16,libdeflate-1,byte-exact,byte-exact,281241493344,184849546611,219969861405,1.52146163461168,1.2785455768696832,1.1899940542884193,0.1596596668728987,15.965966687289871,35120314794,brevis
mixtral-8x22b-v0.1-bf16,language,BF16,snappy,byte-exact,byte-exact,281241493344,184849546611,281275433625,1.52146163461168,0.9998793343572079,1.5216452449132591,0.3428165971385764,34.281659713857636,96425887014,brevis
glm-5.2-bf16,language,BF16,zstd-9,byte-exact,byte-exact,1506667387408,991733974620,1159704918037,1.5192253426482698,1.2991816831804883,1.1693709681382662,0.1448393818156085,14.483938181560848,167970943417,brevis
glm-5.2-bf16,language,BF16,zipnn,byte-exact,tensor-exact,1506667387408,991733974620,998714319367,1.5192253426482698,1.5086069741775088,1.0070385253763992,0.006989330794239784,0.6989330794239784,6980344747,brevis
glm-5.2-bf16,language,BF16,lz4-hc-9,byte-exact,byte-exact,1506667387408,991733974620,1494266532703,1.5192253426482698,1.0082989576716062,1.5067211277858603,0.3363071761862736,33.63071761862736,502532558083,brevis
glm-5.2-bf16,language,BF16,libdeflate-1,byte-exact,byte-exact,1506667387408,991733974620,1171845802319,1.5192253426482698,1.285721538129344,1.181613045744463,0.15369925577458352,15.369925577458352,180111827699,brevis
glm-5.2-bf16,language,BF16,snappy,byte-exact,byte-exact,1506667387408,991733974620,1506845177865,1.5192253426482698,0.999882011463678,1.5194046149748714,0.3418474643658112,34.18474643658112,515111203245,brevis
voxtral-mini-3b-2507-bf16,audio,BF16,zstd-9,byte-exact,byte-exact,9356474312,6185763172,7214835146,1.5125820455513552,1.2968382676335097,1.1663613600110196,0.14263277721189943,14.263277721189944,1029071974,brevis
voxtral-mini-3b-2507-bf16,audio,BF16,zipnn,byte-exact,tensor-exact,9356474312,6185763172,6226208139,1.5125820455513552,1.5027564294538276,1.006538395647456,0.00649592273452264,0.649592273452264,40444967,brevis
voxtral-mini-3b-2507-bf16,audio,BF16,lz4-hc-9,byte-exact,byte-exact,9356474312,6185763172,9269390723,1.5125820455513552,1.0093947478968517,1.4985039784513752,0.33266777107028633,33.26677710702863,3083627551,brevis
voxtral-mini-3b-2507-bf16,audio,BF16,libdeflate-1,byte-exact,byte-exact,9356474312,6185763172,7296996784,1.5125820455513552,1.282236321182953,1.1796437369329018,0.1522864330208536,15.22864330208536,1111233612,brevis
voxtral-mini-3b-2507-bf16,audio,BF16,snappy,byte-exact,byte-exact,9356474312,6185763172,9354542052,1.5125820455513552,1.0002065584813515,1.5122696734242187,0.338742277535918,33.8742277535918,3168778880,brevis
qwen-image-bf16,image-generation,BF16,zstd-9,byte-exact,byte-exact,57699249390,38142221235,44639736872,1.5127396234872161,1.2925535281591567,1.1703496919324081,0.1455545236664584,14.555452366645842,6497515637,brevis
qwen-image-bf16,image-generation,BF16,zipnn,byte-exact,tensor-exact,57699249390,38142221235,38418609615,1.5127396234872161,1.5018567816018034,1.0072462581111135,0.00719412760559893,0.719412760559893,276388380,brevis
qwen-image-bf16,image-generation,BF16,lz4-hc-9,byte-exact,byte-exact,57699249390,38142221235,57245395241,1.5127396234872161,1.0079282210750629,1.5008406271963672,0.3337067361588941,33.370673615889416,19103174006,brevis
qwen-image-bf16,image-generation,BF16,libdeflate-1,byte-exact,byte-exact,57699249390,38142221235,45068289567,1.5127396234872161,1.2802626845694332,1.1815853431641394,0.1536794140302014,15.367941403020142,6926068332,brevis
qwen-image-bf16,image-generation,BF16,snappy,byte-exact,byte-exact,57699249390,38142221235,57698287259,1.5127396234872161,1.0000166752090176,1.5127143986584346,0.3389366817114588,33.89366817114588,19556066024,brevis
